datetime,team.name,period,player.name,pass.recipient.name,pass.length
2023-08-13 00:16:14.191,Le Havre,2,Arouna Sangante,Josue Casimir,35.010426
2023-08-13 00:16:14.825,Le Havre,1,Nabil Alioui,Issa Soumaré,40.823647
2023-08-13 00:16:17.322,Le Havre,2,Rassoul N'Diaye,Josue Casimir,19.71218
2023-08-13 00:16:24.784,Montpellier,1,Benjamin Lecomte,Christopher Jullien,12.712199
2023-08-13 00:16:25.505,Montpellier,2,Joris Chotard,Téji Savanier,29.213867
2023-08-13 00:16:26.484,Montpellier,2,Téji Savanier,Moussa Al Tamari,10.376898
2023-08-13 00:16:27.364,Montpellier,1,Christopher Jullien,Falaye Sacko,27.285343
2023-08-13 00:16:31.558,Montpellier,1,Falaye Sacko,Christopher Jullien,27.347029
2023-08-13 00:16:33.062,Montpellier,2,Moussa Al Tamari,Wahbi Khazri,38.996666
2023-08-13 00:16:33.777,Montpellier,1,Christopher Jullien,Benjamin Lecomte,16.73589
2023-08-13 00:16:36.877,Montpellier,1,Benjamin Lecomte,Issiaga Sylla,33.92359
2023-08-13 00:16:38.958,Le Havre,2,Daler Kuzyaev,Oussama Targhalline,13.484806
2023-08-13 00:16:41.388,Montpellier,1,Issiaga Sylla,Téji Savanier,45.429726
2023-08-13 00:16:44.058,Le Havre,1,Oussama Targhalline,Rassoul N'Diaye,13.630847
2023-08-13 00:16:45.751,Le Havre,2,Oussama Targhalline,Antoine Joujou,11.315918
2023-08-13 00:16:47.936,Le Havre,2,Antoine Joujou,Loïc Négo,15.250574
2023-08-13 00:16:48.579,Le Havre,1,Rassoul N'Diaye,Loïc Négo,12.835108
2023-08-13 00:16:49.900,Le Havre,2,Loïc Négo,Daler Kuzyaev,11.45513
2023-08-13 00:16:52.655,Le Havre,1,Loïc Négo,Yoann Salmier,13.024976
2023-08-13 00:16:55.162,Le Havre,2,Daler Kuzyaev,Oussama Targhalline,14.450605
2023-08-13 00:16:56.883,Le Havre,1,Yoann Salmier,Arouna Sangante,17.912006
2023-08-13 00:16:57.875,Le Havre,2,Oussama Targhalline,Andy Élysée Logbo,20.362957
2023-08-13 00:16:59.825,Le Havre,1,Arouna Sangante,Gautier Lloris,24.69757
2023-08-13 00:17:06.965,Le Havre,1,Gautier Lloris,Arouna Sangante,26.518862
2023-08-13 00:17:10.710,Le Havre,1,Arouna Sangante,Loïc Négo,47.680603
2023-08-13 00:17:16.741,Montpellier,1,Issiaga Sylla,Benjamin Lecomte,26.295437
2023-08-13 00:17:20.521,Montpellier,1,Benjamin Lecomte,Jordan Ferri,52.291492
2023-08-13 00:17:27.417,Le Havre,1,Daler Kuzyaev,Josue Casimir,16.03122
2023-08-13 00:17:29.412,Le Havre,1,Josue Casimir,Oussama Targhalline,14.599315
2023-08-13 00:17:30.738,Le Havre,1,Oussama Targhalline,Daler Kuzyaev,8.633076
2023-08-13 00:17:31.560,Le Havre,1,Daler Kuzyaev,Oussama Targhalline,5.507268
2023-08-13 00:17:32.021,Montpellier,2,Wahbi Khazri,Falaye Sacko,50.90619
2023-08-13 00:17:35.040,Le Havre,1,Oussama Targhalline,Rassoul N'Diaye,8.348653
2023-08-13 00:17:36.701,Montpellier,2,Falaye Sacko,Christopher Jullien,13.2924795
2023-08-13 00:17:37.824,Le Havre,1,Rassoul N'Diaye,Yoann Salmier,15.065191
2023-08-13 00:17:39.455,Montpellier,2,Christopher Jullien,Boubakar Kouyate,19.402319
2023-08-13 00:17:40.358,Le Havre,1,Yoann Salmier,Issa Soumaré,69.61049
2023-08-13 00:17:42.102,Montpellier,2,Boubakar Kouyate,Benjamin Lecomte,14.280056
2023-08-13 00:17:45.025,Montpellier,2,Benjamin Lecomte,Akor Jerome Adams,54.925858
2023-08-13 00:17:46.335,Montpellier,1,Benjamin Lecomte,Téji Savanier,39.666737
2023-08-13 00:17:48.524,Montpellier,1,Téji Savanier,Falaye Sacko,26.112257
2023-08-13 00:17:49.214,Montpellier,2,Akor Jerome Adams,Moussa Al Tamari,16.220049
2023-08-13 00:17:53.567,Montpellier,1,Falaye Sacko,Téji Savanier,23.855608
2023-08-13 00:17:53.786,Montpellier,2,Moussa Al Tamari,Christopher Jullien,32.987423
2023-08-13 00:17:54.998,Montpellier,1,Téji Savanier,Moussa Al Tamari,53.364502
2023-08-13 00:17:59.114,Montpellier,2,Christopher Jullien,Falaye Sacko,9.042677
2023-08-13 00:18:01.382,Montpellier,2,Falaye Sacko,Téji Savanier,18.483776
2023-08-13 00:18:02.711,Le Havre,1,Gautier Lloris,Josue Casimir,8.028076
2023-08-13 00:18:08.412,Montpellier,2,Téji Savanier,Christopher Jullien,13.813037
2023-08-13 00:18:10.852,Montpellier,2,Christopher Jullien,Boubakar Kouyate,37.703316
2023-08-13 00:18:14.452,Montpellier,2,Boubakar Kouyate,Issiaga Sylla,18.518099
2023-08-13 00:18:19.281,Montpellier,2,Issiaga Sylla,Boubakar Kouyate,12.090492
2023-08-13 00:18:22.447,Montpellier,2,Boubakar Kouyate,Wahbi Khazri,30.459316
2023-08-13 00:18:25.191,Le Havre,2,Loïc Négo,Oussama Targhalline,9.734988
2023-08-13 00:18:29.930,Le Havre,2,Oussama Targhalline,Daler Kuzyaev,16.916264
